SkillId,SkillTypeId,SkillTargetTypeId,Name,Identifier,JapaneseName,Description,MPCost,MPCostTypeId,DamageTypeId,AttackTypeId,DamageFamilyId,SkillStatEffectId,DamageLevelId,CalculationType,Priority,WisdomMin,WisdomMax,DamageMin,DamageMax,NumberOfHitsMin,NumberOfHitsMax,Magnification,CorrectionMin,CorrectionMax,StatusChanceMin,StatusChanceMax,Notes
43,3,2,Kasap,kasap,ルカナン,"Decreases the defence of all enemie for 4 to 7 turns. The higher the caster's wisdom, the more likely the spell is to succeed.",4,1,,,,4,,Status,200,,,,,1,1,,,,60.000,80.000,
153,1,2,Kasizz,kasizz,ベギラゴン,Inflicts major light-elemental spell damage on all enemies.,22,1,8,4,,,3,Spell,200,250,999,100,220,1,1,,1.000,1.000,,,
154,1,2,Kasizzle,kasizzle,ギラグレイド,Inflicts extreme light-elemental spell damage on all enemies.,54,1,8,4,,,4,Spell,400,500,3999,280,770,1,1,,1.000,1.000,,,
59,3,2,Kasnooze,kasnooze,ラリホーマ,"Puts all enemies to sleep for 2 to 5 turns. The higher the caster's wisdom, the more likely the spell is to succeed.",8,1,15,,,,,Status,200,,,,,1,1,,,,40.000,60.000,
140,1,1,Kasplash,kasplash,ザバラーン,Inflicts major water-elemental spell damage on a single enemy.,11,1,2,4,,,3,Spell,200,250,999,170,360,1,1,,1.000,1.000,,,
141,1,1,Kasplashle,kasplashle,ザバトローム,Inflicts extreme water-elemental spell damage on a single enemy.,29,1,2,4,,,4,Spell,400,500,3999,350,970,1,1,,1.000,1.000,,,
10,1,2,Kaswoosh,kaswoosh,バギクロス,Inflicts major wind-elemental spell damage on all enemies.,22,1,3,4,,,3,Spell,200,250,999,120,220,1,1,,1.000,1.000,,,
11,1,2,Kaswooshle,kaswooshle,バギムーチョ,Inflicts extreme wind-elemental spell damage on all enemies.,54,1,3,4,,,4,Spell,400,500,3999,270,750,1,1,,1.000,1.000,,,
62,3,2,Katox,katox,ヴェレーノ,"Poisons all enemies. The higher the caster's wisdom, the more likely the spell is to succeed.",8,1,18,,,,,Status,200,,,,,1,1,,,,60.000,80.000,
199,3,2,Katoxle,katoxle,ヴェレノーマ,"Severely poisons all enemies. The higher the caster's wisdom, the more likely the spell is to succeed.",15,1,,,,,,Status,200,,,,,1,1,,,,60.000,80.000,
155,1,1,Kazam,kazam,ドルモーア,Inflicts major dark-elemental spell damage on a single enemy.,10,1,9,4,,,3,Spell,200,250,999,155,345,1,1,,1.000,1.000,,,
156,1,1,Kazammle,kazammle,ドルマドン,Inflicts extreme dark-elemental spell damage on a single enemy.,30,1,9,4,,,4,Spell,400,500,3999,325,980,1,1,,1.000,1.000,,,
149,1,2,Kazap,kazap,ギガデイン,Inflicts major electrical damage on all enemies.,23,1,7,4,,,3,Spell,200,250,999,110,230,1,1,,1.000,1.000,,,
151,1,2,Kazapple,kazapple,ジゴデイン,Inflicts extreme electrical spell damage on all enemies,61,1,7,4,,,4,Spell,400,500,3999,260,800,1,1,,1.000,1.000,,,
30,2,3,Kazing,kazing,ザオリク,Is guaranteed to resurrect a fallen ally.,80,1,,,,,,,500,,,,,1,1,,,,,,
159,2,4,Kerplunk,kerplunk,メガザル,"Heals or resurrects all allies, including reserves, but at the cost of the caster's life. The caster cannot be resurrected in the same battle.",100,3,,,,,,,500,,,,,1,1,,,,,,
170,2,4,Kerplunk Dance,kerplunk-dance,メガザルダンス,"A dance that heals or resurrects all allies, including reserves, but at the cost of the user's life. The user cannot be resurrected in the same battle.",100,3,,5,,,,,500,,,,,1,1,,,,,,
84,1,1,Knuckle Sandwich,knuckle-sandwich,せいけんづき,"Focuses strength in order to inflict heavy damage on a single enemy in the next turn, ignoring their defence attribute.",20,1,,6,,,,Stat-Att,200,,,,,1,1,,1.125,1.275,,,
148,1,2,Lightning,lightning,いなずま,"Inflicts medium electrical damage on all enemies. The higher the user's level, the greater the damage that will be inflicted.",12,1,7,,,,2,Level,200,,,40,0,1,1,0.800,10.000,10.000,,,
70,1,1,Lightning Slash,lightning-slash,いなずま斬り,Inflicts minor elecrtrical slashing damage on a single enemy.,2,1,7,1,,,1,Attack,200,,,,,1,1,1.100,0.000,0.000,,,
177,1,2,Lightning Storm,lightning-storm,ジゴスパーク,"Inflicts outrageous electrical damage on all enemies. The higher the user's level, the greater the damage that will be inflicted.",52,1,,,,,5,Level,400,,,150,0,1,1,1.500,10.000,10.000,,,
195,1,2,Magic Burst,magic-burst,マダンテ,"Uses all remaining MP to inflict extreme light-elemental damage on all enemies. The more MP the monster has at the time of casting, the greater the damage will be.",100,2,,,,,4,,500,,,,,1,1,,,,,,
26,1,1,Magic Pop,magic-pop,マダンチョ,"Uses 1/4 of remaining MP to inflict light-elemental damage on a single enemy, for a weaker rendition of a more extreme spell. The more MP the monster has at the time of casting, the greater the damage will be.",25,2,8,,,,4,,500,,,,,1,1,,,,,,
202,1,2,Magma Blast,magma-blast,マグマ,Inflicts medium fire-elemental damage on all enemies.,4,1,,,,,2,Damage,100,,,70,85,1,1,,,,,,
78,1,1,Matter Scatterer,matter-scatterer,だいせつだん,Inflicts heavy slashing damage on monsters in the material family.,4,1,,1,5,,,Attack,165,,,,,1,1,1.000,0.600,2.000,,,
104,2,5,Meditation,meditation,めいそう,Restores 300 or more HP to the user.,35,1,,,,,,Damage,200,,,300,400,1,1,,,,,,
82,1,1,Mercurial Thrust,mercurial-thrust,しっぷうづき,"A punching technique that only inflicts a small amount of damage, but allows the user to attack before anyone else.",2,1,,7,,,,Attack,200,,,,,1,1,0.400,0.000,0.000,,,
28,2,3,Midheal,midheal,ベホイミ,Restores 76 or more HP to a single ally.,8,1,,,,,,Spell,200,100,499,80,215,1,1,,1.000,1.000,,,
88,1,1,Miracle Slash,miracle-slash,ミラクルソード,Inflicts slashing damage on a single enemy. Approximately half the amount of damage inflicted is restored to the user as HP. Can heal up to a maximum of 200 HP.,10,1,,1,,,,Attack,200,,,,,1,1,0.900,0.000,0.000,,,
185,3,4,Mirror Moves,mirror-moves,ミラーステップ,"A secret technique that copies an enemy's dance moves step-for-step, effectively reflecting their dance back at them. Protects all allies once only.",32,1,,5,,,,Status,400,,,,,1,1,,,,100.000,100.000,
111,3,5,Mist Me,mist-me,まもりの霧,Negates all damages 1 time only. Ineffective against certain attacks.,10,1,,,,,,Status,200,,,,,1,1,,,,100.000,100.000,
194,2,3,Moreheal,moreheal,ベホイム,Restores 285 or more HP to a single ally.,40,1,,,,,,Spell,400,500,2500,300,500,1,1,,1.000,1.000,,,
158,1,7,Multifists,multifists,ばくれつけん,"A punching technique that damages enemies at random, 4 times in total",20,1,,7,,,,Attack,200,,,,,1,1,0.375,0.000,0.000,,,
189,2,4,Multiheal,multiheal,ベホマラー,Restores 76 or more HP to all allies.,26,1,,,,,,Spell,300,250,2500,80,300,1,1,,1.000,1.000,,,
178,1,2,Multi-Persecutter,multi-persecutter,ヒュプノスムーチョ,Damages all enemies. Highly effective against enemies that are asleep or confused.,0,3,,,,,,Attack,300,,,,,1,1,1.000,0.000,0.000,,,
81,1,2,Multislash,multislash,さみだれ斬り,Inflicts slashing damage on all enemies. Enemies that are further to the right-hand side of the battlefield receive less damage.,5,1,,1,,,,Attack,200,,,,,1,1,1.000,0.000,0.000,,,
181,1,2,Multi-Victimiser,multi-victimiser,タナトスムーチョ,"Damages all enemies. Highly effective against enemies that are poisoned, severely poisoned or paralysed.",26,1,,,,,,Attack,300,,,,,1,1,1.000,0.000,0.000,,,
76,1,1,Nature Nerfer,nature-nerfer,しぜん斬り,Inflicts heavy slashing damage on monsters in the nature family.,4,1,,1,3,,,Attack,165,,,,,1,1,1.000,0.600,2.000,,,
60,3,1,Numb,numb,シビー,"Paralyses a single enemy for 2 to 5 turns. The higher the caster's wisdom, the more likely the spell is to succeed.",8,1,16,,,,,Status,200,,,,,1,1,,,,20.000,40.000,
193,2,4,Omniheal,omniheal,ベホマズン,Restores 237 or more HP to all allies.,80,1,,,,,,Spell,500,500,2500,250,500,1,1,,1.000,1.000,,,
35,3,3,Oomph,oomph,バイキルト,Greatly increases the attack of a single ally for 2 to 5 turns.,6,1,,,,1,,Status,200,,,,,1,1,,,,100.000,100.000,
38,3,4,Oomphle,oomphle,バイシオン,Increases the attack of all allies for 2 to 5 turns.,10,1,,,,1,,Status,200,,,,,1,1,,,,100.000,100.000,
165,1,1,Parallax,parallax,蒼天魔斬,Inflicts heavy slashing damage on a single enemy and occasionally paralyses it for 2 to 5 turns.,20,1,16,1,,,,Attack,200,,,,,1,1,1.300,0.000,0.000,,,
93,1,1,Paralysing Punch,paralysing-punch,マヒこうげき,Damages a single enemy and occasionally paralyses it for 2 to 5 turns.,4,1,16,7,,,,Attack,200,,,,,1,1,1.000,0.000,0.000,,,
196,1,2,Pearly Gates,pearly-gates,グランドクロス,Inflicts extreme light-elemental spell damage on all enemies. Highly effecetive against monsters in the undead family.,60,1,,,7,,4,Spell,400,500,3999,180,610,1,1,,1.000,1.300,,,
98,1,1,Persecutter,persecutter,ヒュプノスハント,Damages a single enemy. Higly effective against enemies that are asleep or confused.,4,1,,,,,,Attack,300,,,,,1,1,1.000,0.000,0.000,,,
48,3,3,Ping,ping,インテ,Greatly increases the wisdom of a single ally for 4 to 7 turns.,3,1,,,,7,,Status,200,,,,,1,1,,,,100.000,100.000,
95,1,1,Poison Attack,poison-attack,どくこうげき,Damages a single enemy and occasionally poisons it.,2,1,18,,,,,Attack,200,,,,,1,1,1.000,0.000,0.000,,,
133,3,2,Poison Breath,poison-breath,どくの息,Exhales toxic fumes that poison all enemies.,3,1,18,3,,,,Status,200,,,,,1,1,,,,80.000,80.000,
203,1,2,Power Surge,power-surge,シルバースパーク,Inflicts outrageous electrical damage on all enemies.,52,1,,,,,5,Damage,250,,,200,350,1,1,,,,,,
105,2,4,Right as Rain,right-as-rain,いやしの雨,Performs a rainmaking ritual that invokes a healing shower in the next turn. Restores a random amount of HP to all allies.,40,1,,,,,,,400,,,,,1,1,,,,,,
85,1,2,Roundhouse Kick,roundhouse-kick,まわしげり,"A kicking technique that damages all enemies, regardless of their defence. Enemies that are further to the right-hand side of the battlefield receive less damage.",8,1,,8,,,,Stat-Att,200,,,,,1,1,,0.469,0.531,,,
107,3,2,Sandstorm,sandstorm,すなけむり,Whips up a dense cloud of dust that lowers the accuracy of enemy attacks for 2 to 5 turns.,2,1,11,,,12,,Status,200,,,,,1,1,,,,80.000,80.000,
127,1,2,Sandy Sigh,sandy-sigh,サンドブレス,Whips up a cloud of dust that inflicts major earth-elemental breath damage on all enemies and occasionally lowers their accuracy for 2 to 5 turns.,22,1,4,3,,12,3,Damage,500,,,100,180,1,1,,,,,,
42,3,1,Sap,sap,ルカニ,"Greatly decreases the defence of a single enemy for 4 to 7 turns. The higher the caster's wisdom, the more likely the spell is to succeed.",3,1,,,,4,,Status,200,,,,,1,1,,,,60.000,80.000,
122,1,2,Scorch,scorch,しゃくねつ,Inflicts extreme fire-elemental breath damage on all enemies.,30,1,1,3,,,4,Damage,400,,,180,216,1,1,,,,,,
115,3,5,Seethe,seethe,たぎる,"Internalises rage in order to raise the damage of the next attack. Furthermore, the user's attacks become more difficult for the enemy to dodge.",10,1,,6,,11,,Status,200,,,,,1,1,,,,100.000,100.000,
117,3,5,Selflessness,selflessness,みがわり,"Receives all incoming attacks in place for allies for 1 round, but suffers greater damage in doing so.",5,1,,,,,,Status,200,,,,,1,1,,,,100.000,100.000,
163,1,2,Shadow Blast,shadow-blast,ダークブレイク,"Inflicts extreme dark-elemental damage 2 times in a row on all enemies. The higher the user's level, the greater the damage that will be inflicted.",80,1,9,,,,4,Level,400,,,70,110,2,2,0.500,0.000,0.000,,,
157,1,7,Shining Shot,shining-shot,シャイニングボウ,"Inflicts light-elemental damage on enemies at random, 4 to 12 times in total.",100,1,8,,,,,Attack,400,,,,,1,1,0.188,0.000,0.000,,,
22,1,2,Sizz,sizz,ギラ,Inflicts minor light-elemental spell damage on all enemies.,4,1,8,4,,,1,Spell,50,50,499,15,75,1,1,,1.000,1.000,,,
23,1,2,Sizzle,sizzle,ベギラマ,Inflicts medium light-elemental spell damage on all enemies.,11,1,8,4,,,2,Spell,100,100,699,30,150,1,1,,1.000,1.000,,,
72,1,2,Skysplitter,skysplitter,空裂斬,Inflicts minor wind-elemental slashing damage on all enemies.,15,1,3,1,,,1,Attack,250,,,,,1,1,1.200,0.000,0.000,,,
92,1,1,Sleep Attack,sleep-attack,ねむりこうげき,Damages a single enemy and occasionally puts it to sleep for 2 to 5 turns.,4,1,15,,,,,Attack,200,,,,,1,1,1.000,0.000,0.000,,,
74,1,1,Slime Squisher,slime-squisher,スライムたたき,Inflicts heavy impact damage on monsters in the slime family.,4,1,,2,1,,,Attack,165,,,,,1,1,1.000,0.600,2.000,,,
58,3,1,Snooze,snooze,ラリホー,"Puts a single enemy to sleep for 2 to 5 turns. The higher the caster's wisdom, the more likely the spell is to succeed.",3,1,15,,,,,Status,200,,,,,1,1,,,,40.000,60.000,
7,1,1,Splash,splash,ザバラ,Inflicts medium water-elemental spell damage on a single enemy.,5,1,2,4,,,2,Spell,100,100,699,85,225,1,1,,1.000,1.000,,,
5,1,1,Splish,splish,ザバ,Inflicts minor water-elemental spell damage on a single enemy.,2,1,2,4,,,1,Spell,50,50,499,20,110,1,1,,1.000,1.000,,,
31,2,4,Squelch,squelch,キアリー,Cures all allies of poison or severe poison.,2,1,,,,,,Status,50,,,,,1,1,,,,100.000,100.000,
197,1,2,Starfall,starfall,流星,"Inflicts medium light-elemental damage on all enemies. The higher the user's level, the greater the damage that will be inflicted.",12,1,,,,,2,Level,200,,,40,0,1,1,0.800,10.000,10.000,,,
103,1,2,Stomp,stomp,じひびき,"Inflicts medium earth-elemental damages on all enemies. The higher the user's level, the greater the damage that will be inflicted.",12,1,4,,,,2,Level,200,,,40,0,1,1,0.800,10.000,10.000,,,
101,1,1,Stone's Throw,stones-throw,いわなげ,Inflicts minor earth-elemental damages on a single enemy.,4,1,4,,,,1,Damage,100,,,30,40,1,1,,,,,,
138,3,2,Sultry Dance,sultry-dance,さそう踊り,A bewitching dance that stuns all enemies for 1 turn.,2,1,17,5,,,,Status,200,,,,,1,1,,,,80.000,80.000,
131,3,2,Sweet Breath,sweet-breath,あまい息,Lets out an exhalation of relaxation that puts all enemies to sleep for 2 to 5 turns.,3,1,15,3,,,,Status,200,,,,,1,1,,,,60.000,60.000,
9,1,2,Swoosh,swoosh,バギマ,Inflicts medium wind-elemental spell damage on all enemies.,11,1,3,4,,,2,Spell,100,100,699,40,150,1,1,,1.000,1.000,,,
134,1,2,Sword Dance,sword-dance,つるぎのまい,"A dance that damages enemies at random, 3 to 7 times in total.",15,1,,5,,,,Attack,200,,,,,1,1,0.300,0.000,0.000,,,
136,3,1,Tap Dance,tap-dance,マホトラ踊り,A dance that absorbs some MP from a single enemy.,0,1,13,5,,,,,200,,,,,1,1,,,,,,
100,1,2,Thin Air,thin-air,しんくうは,"Inflicts medium wind-elemental damages on a single enemy. The higher the user's level, the greater the damage that will be inflicted.",12,1,3,,,,2,Level,200,,,40,0,1,1,0.800,10.000,10.000,,,
179,3,2,Thwack,thwack,ザラキ,"Kills all enemies instantly. The higher the caster's wisdom, the more likely the spell is to succeed.",12,1,,,,,,,200,,,,,1,1,,,,,,
188,1,2,Tidal Wave,tidal-wave,つなみ,"Inflicts outrageous water-elemental damage on all enemies. The higher the user's level, the greater the damage that will be inflicted.",52,1,,,,,5,Level,400,,,150,0,1,1,1.500,10.000,10.000,,,
32,2,4,Tingle,tingle,キアリク,Cures all allies of paralysis.,2,1,,,,,,Status,50,,,,,1,1,,,,100.000,100.000,
114,3,1,Tongue Bashing,tongue-bashing,ひゃくれつなめ,"Savagely slathers a single enemy with slimy saliva, stunning it and reducing its defence attribute to 1.",8,1,17,,,4,,Status,300,,,,,1,1,,,,40.000,40.000,
113,3,1,Tongue Lashing,tongue-lashing,なめまわし,"Slathers a single enemy with simy saliva, stunning it and lowering its defence.",1,1,17,,,4,,Status,100,,,,,1,1,,,,80.000,80.000,
61,3,1,Tox,tox,ヴェレ,"Poisons a single enemy. The higher the caster's wisdom, the more likely the spell is to succeed.",3,1,18,,,,,Status,200,,,,,1,1,,,,60.000,80.000,
80,1,1,Undead Undoer,undead-undoer,ゾンビ斬り,Inflicts heavy slashing damage on monsters in the undead family.,4,1,,1,7,,,Attack,165,,,,,1,1,1.000,0.600,2.000,,,
97,1,1,Victimiser,victimiser,タナトスハント,"Damages a single enemy. Highly effective against enemies that are poisoned, severly poisoned or paralysed.",4,1,,,,,,Attack,300,,,,,1,1,1.000,0.000,0.000,,,
112,3,2,War Cry,war-cry,おたけび,An ear-popping shout that stuns all enemies for 1 turn.,3,1,17,,,,,Status,200,,,,,1,1,,,,80.000,80.000,
200,3,2,Wave of Panic,wave-of-panic,やみのはどう,Debilitates all enemies.,60,1,,,,,,Status,500,,,,,1,1,,,,80.000,80.000,"This will reduce Attack, Defence, Agility, and Wisdom."
106,2,4,Wave of Relief,wave-of-relief,ひかりのはどう,Cures of allies of their status ailments.,60,1,,,,,,Status,500,,,,,1,1,,,,100.000,100.000,
135,3,1,Weird Dance,weird-dance,ふしぎな踊り,A dance that decreases the MP of a single enemy.,0,1,,5,,,,,200,,,,,1,1,,,,,,
63,3,1,Whack,whack,ザキ,"Kills a single enemy instantly. The higher the caster's wisdom, the more likely the spell is to succeed.",9,1,19,,,,,,200,,,,,1,1,,,,,,
99,1,1,Wind Sickles,wind-sickles,かまいたち,Inflicts minor wind-elemental damages on a single enemy.,4,1,3,,,,1,Damage,100,,,30,50,1,1,,,,,,
190,1,2,Withering Look,withering-look,はかいのひとみ,"Shoots a beam from the eyes that inflicts extreme damage on all enemies. The higher the user's level, the greater the damage that will be inflicted.",36,1,,,,,4,Level,150,,,120,0,1,1,1.000,10.000,10.000,,,
8,1,2,Woosh,woosh,バギ,Inflicts minor wind-elemental spell damage on all enemies.,4,1,3,4,,,1,Spell,50,50,499,15,75,1,1,,1.000,1.000,,,
24,1,1,Zam,zam,ドルマ,Inflicts minor dark-elemental spell damage on a single enemy.,3,1,9,4,,,1,Spell,50,50,499,25,140,1,1,,1.000,1.000,,,
25,1,1,Zammle,zammle,ドルクマ,Inflicts medium dark-elemental spell damage on a single enemy.,6,1,9,4,,,2,Spell,100,100,699,70,230,1,1,,1.000,1.000,,,
20,1,1,Zap,zap,デイン,Inflicts minor electrical spell damage on a single enemy.,2,1,7,4,,,1,Spell,50,50,499,15,135,1,1,,1.000,1.000,,,
21,1,2,Zapple,zapple,ライデイン,Inflicts medium electrical spell damage on all enemies.,13,1,7,4,,,2,Spell,100,100,699,35,165,1,1,,1.000,1.000,,,
29,2,3,Zing,zing,ザオラル,Resurrects a fallen ally. Has a chance of failure.,8,1,,,,,,,250,,,,,1,1,,,,,,
