TraitId,Name,Identifier,JapaneseName,Description,HPBonus,MPBonus,AttackBonus,DefenceBonus,AgilityBonus,WisdomBonus,Notes
92,Naked Ambition,naked-ambition,徒手空拳,Increases the likelihood of critical hits and critical spells if no accessory is equipped.,,,,,,,
58,Naturesbane,naturesbane,自然キラー,Increases damage inflicted on monsters from the nature family and slightly lowers all resistances.,,,,,,,Increases damage by 100%. Lowers all resistances by 5%.
66,Paralysing Touch,paralysing-touch,マヒ攻撃,Regular attacks sometimes paralyse the enemy.,,,,,,,
87,Parting Gift,parting-gift,最後のあがき,Inflicts damage back on all enemies when a killer blow is received. The amount inflicted is proportional to the excess damage suffered after the monster's HP are reduced to zero.,,,,,,,
98,Personal Grudge,personal-grudge,根に持つタイプ,"Greatly decreases the attack, defence, agility and wisdom of an enemy that lands a killer blow, and stuns them for the next turn.",,,,,,,
62,Poisonous Touch,poisonous-touch,どく攻撃,Regular attacks sometimes poison the enemy.,,,,,,,
12,Rando-Accel,rando-accel,ときどきピオラ,Monster sometimes uses Accelerate on itself during battle.,,,,,,,
11,Rando-Buff,rando-buff,ときどきスカラ,Monster sometimes uses Buff on itself during battle.,,,,,,,
234,Rando-Disrupt,rando-disrupt,いてつくはどう,Sometimes uses Disruptive Wave during battle.,,,,,,,
14,Rando-Mister,rando-mister,ときどきまもりの霧,Monster sometimes uses Mist Me on itself during battle.,,,,,,,
17,Rando-Muster,rando-muster,ちからため,Sometimes uses Muster Strength during battle.,,,,,,,
10,Rando-Oomph,rando-oomph,ときどきバイキルト,Monster sometimes uses Oomph on itself during battle.,,,,,,,
16,Rando-Panic,rando-panic,やみのはどう,Sometimes uses Wave of Panic during battle.,,,,,,,
13,Rando-Ping,rando-ping,ときどきインテ,Sometimes uses Ping on itself during battle.,,,,,,,
15,Rando-Relief,rando-relief,ひかりのはどう,Sometimes uses Wave of Relief during battle.,,,,,,,
251,Sizz Ward,sizz-ward,,Slightly increases resistance to light-elemental attacks.,,,,,,,Increases resistance by 10%.
29,Sizzmeister,sizzmeister,光のコツ,Increases the potency of light-elemental attacks and decreases their MP consumption.,,,,,,,Increases damage by 15%.
78,Sleep Twitch,sleep-twitch,ねがえり,Attacks all enemies when the monster is asleep.,,,,,,,
64,Sleepy Touch,sleepy-touch,ねむり攻撃,Regular attacks sometimes put the enemy to sleep.,,,,,,,
32,Slick Skin,slick-skin,ギャンブルボディ,Sometimes causes incoming direct attacks to miss.,,,,,,,
241,Slimesbane,slimesbane,スライムキラー,Increases damage inflicted on monsters from the slime family and slightly lowers all resistances.,,,,,,,Increases damage by 100%. Lowers all resistances by 5%.
86,Snappy Comeback,snappy-comeback,わるあがき,Inflicts damage back on an enemy that lands a killer blow. The amount inflicted is proportional to the excess damage suffered after the monster's HP are reduced to zero.,,,,,,,
80,Sobering Slap,sobering-slap,ツッコミ,Sometimes cures allies of sleep and confusion during battle.,,,,,,,
36,Somnolent Skin,somnolent-skin,スヤスヤボディ,Sometimes puts enemies that inflect direct attacks to sleep.,,,,,,,
201,Spellbinder,spellbinder,,Slightly increases resistance to antimagic.,,,,,,,Increases resistance by 10%.
33,Spiky Skin,spiky-skin,やいばのボディ,Returns 1/4 of the damage suffered from direct attacks back at the attacking enemy.,,,,,,,
253,Splish Ward,splish-wrd,,Slightly increases resistance to water-elemental attacks.,,,,,,,Increases resistance by 10%.
23,Splishmeister,splishmeister,水のコツ,Increases the potency of water-elemental attacks and decreases their MP consumption.,,,,,,,Increases damage by 15%.
39,Spongy Skin,spongy-skin,マホキテボディ,Sometimes absorbs MP from enemies that inflict direct attacks.,,,,,,,
79,Static Discharge,static-discharge,たいでんたいしつ,Sometimes paralyses enemies that inflict direct attacks when the monster is paralysed itself.,,,,,,,
76,Strangely Alluring,strangely-alluring,ラブリー,Sometimes stuns the enemy during battle for 1 turn.,,,,,,,
89,Strong Starter,strong-starter,ロケットスタート,"Raises damage inflicted on enemies up to round 3, but lowers it from round 4 onwards.",,,,,,,
35,Stunning Skin,stunning-skin,ヘロヘロボディ,Sometimes stuns enemies that inflict direct attacks for 1 turn.,,,,,,,
63,Stunning Touch,stunning-touch,ショック攻撃,Regular attacks sometimes stun the enemy for 1 turn.,,,,,,,
37,Stupefying Skin,stupefying-skin,ぐるぐるボディ,Sometimes confuses enemies that inflict direct attacks.,,,,,,,
41,Supreme Sidestepper,supreme-sidestepper,超みかわしアップ,Makes it much easier to avoid enemy attacks.,,,,,,,
2,Tactical Commander,tactical-commander,2回行動,Performs 2 actions in a row. The number of actions is not affected if you don't issue specific orders. Slightly lowers the monster's attributes.,,,,,,,Reduces all stats by 20%.
3,Tactical Genius,tactical-genius,1〜3回行動,Sometimes performs 2 or 3 actions in a row. The number of actions is not affected if you don't issue specific orders. Slightly lowers the monster's attributes.,,,,,,,Reduces all stats by 20%. Attacks 1 to 3 times.
4,Tactical Titan,tactical-titan,2〜3回行動,Performs 2 or 3 actions in a row. The number of actions is not affected if you don't issue specific orders. Lowers the monster's attribute.,,,,,,,Reduces all stats by 30%.
1,Tactical Trooper,tactical-trooper,1〜2回行動,Sometimes performs 2 actions in a row. The number of actions is not affected if you don't issue specific orders. Very slightly lowers the monster's attributes.,,,,,,,"Reduces all stats by 10%. Attacks 1 to 2 times. "
91,Tit for Tat,tit-for-tat,しっぺがえし,"When a monster is inflicted with a status ailment, the attacking enemy will have the same ailment inflicted back on them.",,,,,,,
197,Tough Customer,tough-customer,,Slightly increases resistance to debilitation.,,,,,,,Increases resistance by 10%.
101,Trance State,trance-state,マジシャンズハイ,Greatly increases wisdom after casting a critical spell.,,,,,,,
56,Über Beastsbane,uber-beastsbane,超魔獣キラー,Greatly increases damage inflicted on monsters from the beast family and somewhat lowers all resistances.,,,,,,,Increases damage by 200%. Lowers all resistances by 10%.
231,Über Bossesbane,uber-bossesbane,超？？？キラー,Greatly increases damage inflicted on monsters from the ??? family and somewhat lowers all resistances.,,,,,,,Increases damage by 200%. Lowers all resistances by 10%.
242,Über Demonsbane,uber-demonsbane,超悪魔キラー,Greatly increases damage inflicted on monsters from the demon family and somewhat lowers all resistances.,,,,,,,Increases damage by 200%. Lowers all resistances by 10%.
55,Über Dragonsbane,uber-dragonsbane,超ドラゴンキラー,Greatly increases damage inflicted on monsters from the dragon family and somewhat lowers all resistances.,,,,,,,Increases damage by 200%. Lowers all resistances by 10%.
61,Über Matterbane,uber-matterbane,超物質キラー,Greatly increases damage inflicted on monsters from the material family and somewhat lowers all resistances.,,,,,,,Increases damage by 200%. Lowers all resistances by 10%.
57,Über Naturesbane,uber-naturesbane,超自然キラー,Greatly increases damage inflicted on monsters from the nature family and somewhat lowers all resistances.,,,,,,,Increases damage by 200%. Lowers all resistances by 10%.
232,Über Slimesbane,ubber-slimesbane,超スライムキラー,Greatly increases damage inflicted on monsters from the slime family and somewhat lowers all resistances.,,,,,,,Increases damage by 200%. Lowers all resistances by 10%.
60,Über Zombiesbane,uber-zombiesbane,超ゾンビキラー,Greatly increases damage inflicted on monsters from the undead family and somewhat lowers all resistances.,,,,,,,Increases damage by 200%. Lowers all resistances by 10%.
186,Ultra Antitoxidant,ultra-antitoxidant,どくガード大,Greatly increases resistance to poison and severe poison.,,,,,,,Increases resistance by 50%.
180,Ultra Bang Ward,ultra-bang-ward,爆発ガード大,Greatly increases resistance to explosive attacks.,,,,,,,Increases resistance by 50%.
190,Ultra Clear Thinker,ultra-clear-thinker,こんらんガード大,Greatly increases resistance to confusion.,,,,,,,Increases resistance by 50%.
181,Ultra Crack Ward,ultra-crack-ward,氷結ガード大,Greatly increases resistance to ice-elemental attacks.,,,,,,,Increases resistance by 50%.
106,Ultra Crafty Banger,ultra-crafty-banger,爆発ブレイク大,Greatly increases the damage inflicted by explosive attacks.,,,,,,,Reduces enemy resistance by 50%.
115,Ultra Crafty Confuser,ultra-crafty-confuser,こんらんブレイク大,Makes it much easier to confuse the enemy.,,,,,,,Reduces enemy resistance by 50%.
107,Ultra Crafty Cracker,ultra-crafty-cracker,氷結ブレイク大,Greatly increases the damage inflicted by ice-elemental attacks.,,,,,,,Reduces enemy resistance by 50%.
105,Ultra Crafty Cragger,ultra-crafty-cragger,地ブレイク大,Greatly increases the damage inflicted by earth-elemental attacks.,,,,,,,Reduces enemy resistance by 50%.
112,Ultra Crafty Dazzler,ultra-crafty-dazzler,幻惑ブレイク大,Makes it much easier to bedazzle the enemy.,,,,,,,Reduces enemy resistance by 50%.
111,Ultra Crafty Debilitator,ultra-crafty-debilitator,弱体化ブレイク大,"Makes it much easier to reduce an enemy's attack, defence, agility or wisdom.",,,,,,,Reduces enemy resistance by 50%.
102,Ultra Crafty Frizzer,ultra-crafty-frizzer,火ブレイク大,Greatly increases the damage inflicted by fire-elemental attacks.,,,,,,,Reduces enemy resistance by 50%.
114,Ultra Crafty Magic Drainer,ultra-crafty-magic-drainer,MP吸収ブレイク大,Makes it much easier to absorb MP.,,,,,,,Reduces enemy resistance by 50%.
117,Ultra Crafty Paralyser,ultra-crafty-paralyser,マヒブレイク大,Makes it much easier to paralyse the enemy.,,,,,,,Reduces enemy resistance by 50%.
119,Ultra Crafty Poisoner,ultra-crafty-poisoner,どくブレイク大,Makes it much easier to poison or severely poison the enemy.,,,,,,,Reduces enemy resistance by 50%.
109,Ultra Crafty Sizzer,ultra-crafty-sizzer,光ブレイク大,Greatly increases the damage inflicted by light-elemental attacks.,,,,,,,Reduces enemy resistance by 50%.
116,Ultra Crafty Sleeper,ultra-crafty-sleeper,ねむりブレイク大,Makes it much easier to put the enemy to sleep.,,,,,,,Reduces enemy resistance by 50%.
113,Ultra Crafty Spellbinder,ultra-crafty-spellbinder,封じブレイク大,Makes it much easier to prevent spellcasting.,,,,,,,Reduces enemy resistance by 50%.
103,Ultra Crafty Splasher,ultra-crafty-splasher,水ブレイク大,Greatly increases the damage inflicted by water-elemental attacks.,,,,,,,Reduces enemy resistance by 50%.
118,Ultra Crafty Stunner,ultra-crafty-stunner,休みブレイク大,Makes it much easier to stun the enemy.,,,,,,,Reduces enemy resistance by 50%.
120,Ultra Crafty Whacker,ultra-crafty-whacker,即死ブレイク大,Makes it much easier to kill the enemy instantly.,,,,,,,Reduces enemy resistance by 50%.
104,Ultra Crafty Woosher,ultra-crafty-woosher,風ブレイク大,Greatly increases the damage inflicted by wind-elemental attacks.,,,,,,,Reduces enemy resistance by 50%.
110,Ultra Crafty Zammer,ultra-crafty-zammer,闇ブレイク大,Greatly increases the damage inflicted by dark-elemental attacks.,,,,,,,Reduces enemy resistance by 50%.
108,Ultra Crafty Zapper,ultra-crafty-zapper,電撃ブレイク大,Greatly increases the damage inflicted by electrical attacks.,,,,,,,Reduces enemy resistance by 50%.
179,Ultra Crag Ward,ultra-crag-ward,地ガード大,Greatly increases resistance to earth-elemental attacks.,,,,,,,Increases resistance by 50%.
196,Ultra Death Defier,ultra-death-defier,即死ガード大,Greatly increases resistance to instant death.,,,,,,,Increases resistance by 50%.
204,Ultra Drain Blocker,ultra-drain-blocker,MP吸収ガード大,Greatly increases resistance to MP absorption.,,,,,,,Increases resistance by 50%.
194,Ultra Fidget,ultra-fidget,マヒガード大,Greatly increases resistance to paralysis.,,,,,,,Increases resistance by 50%.
176,Ultra Frizz Ward,ultra-frizz-ward,火ガード大,Greatly increases resistance to fire-elemental attacks.,,,,,,,Increases resistance by 50%.
187,Ultra Granite Chin,ultra-granite-chin,休みガード大,Greatly increases resistance to being stunned.,,,,,,,Increases resistance by 50%.
192,Ultra Insomniac,ultra-insomniac,ねむりガード大,Greatly increases resistance to being put to sleep.,,,,,,,Increases resistance by 50%.
183,Ultra Sizz Ward,ultra-sizz-ward,光ガード大,Greatly increases resistance to light-elemental attacks.,,,,,,,Increases resistance by 50%.
202,Ultra Spellbinder,ultra-spellbinder,封じガード大,Greatly increases resistance to antimagic.,,,,,,,Increases resistance by 50%.
177,Ultra Splish Ward,ultra-splish-ward,水ガード大,Greatly increases resistance to water-elemental attacks.,,,,,,,Increases resistance by 50%.
198,Ultra Tough Customer,ultra-tough-customer,弱体化ガード大,Greatly increases resistance to debilitation.,,,,,,,Increases resistance by 50%.
200,Ultra Visionary,ultra-visionary,幻惑ガード大,Greatly increases resistance to bedazzlement.,,,,,,,Increases resistance by 50%.
178,Ultra Woosh Ward,ultra-woosh-ward,風ガード大,Greatly increases resistance to wind-elemental attacks.,,,,,,,Increases resistance by 50%.
184,Ultra Zam Ward,ultra-zam-ward,闇ガード大,Greatly increases resistance to dark-elemental attacks.,,,,,,,Increases resistance by 50%.
182,Ultra Zap Ward,ultra-zap-ward,電撃ガード大,Greatly increases resistance to electrical attacks.,,,,,,,Increases resistance by 50%.
96,Unhealthy Advantage,unhealthy-advantage,背水の陣,Inflicts increasing amounts of damage as remaining HP gets lower.,,,,,,,
199,Visionary,visionary,,Slightly increases resistance to bedazzlement.,,,,,,,Increases resistance by 10%.
169,Wisdom +12,wisdom-12,,Raises wisdom by 12.,,,,,,12,
170,Wisdom +16,wisdom-16,かしこさ+16,Raises wisdom by 16.,,,,,,16,
171,Wisdom +24,wisdom-24,かしこさ+24,Raises wisdom by 24.,,,,,,24,
172,Wisdom +32,wisdom-32,かしこさ+32,Raises wisdom by 32.,,,,,,32,
167,Wisdom +4,wisdom-4,かしこさ+4,Raises wisdom by 4.,,,,,,4,
173,Wisdom +40,wisdom-40,かしこさ+40,Raises wisdom by 40.,,,,,,40,
174,Wisdom +48,wisdom-48,かしこさ+48,Raises wisdom by 48.,,,,,,48,
223,Wisdom +60,wisdom-60,かしこさ+60,Raises wisdom by 60.,,,,,,60,
175,Wisdom +64,wisdom-64,,Raises wisdom by 64.,,,,,,64,
224,Wisdom +72,wisdom-72,かしこさ+72,Raises wisdom by 72.,,,,,,72,
168,Wisdom +8,wisdom-8,かしこさ+8,Raises wisdom by 8.,,,,,,8,
225,Wisdom +96,wisdom-96,かしこさ+96,Raises wisdom by 96.,,,,,,96,
205,Wizardly Waft,wizardly-waft,魔力の風,Sometimes restores 1 or more MP to all allies during battle. A higher level increases the restored amount.,,,,,,,
20,Wizardly Wind,wizardly-wind,魔力の強風,Sometimes restores 5 or more MP to all allies during battle. Higher wisdom makes the healing effect more powerfull.,,,,,,,
260,Woosh Ward,woosh-ward,,Slightly increases resistance to wind-elemental attacks.,,,,,,,Increases resistance by 10%.
24,Wooshmeister,wooshmeister,風のコツ,Increases the potency of wind-elemental attacks and decreases their MP consumption.,,,,,,,Increases damage by 15%.
249,Zam Ward,zam-ward,,Slightly increases resistance to dark-elemental attacks.,,,,,,,Increases resistance by 10%.
30,Zammeister,zammeister,闇のコツ,Increases the potency of dark-elemental attacks and decreases their MP consumption.,,,,,,,Increases damage by 15%.
252,Zap Ward,zap-ward,,Slightly increases resistance to electrical attacks.,,,,,,,Increases resistance by 10%.
28,Zapmeister,zapmeister,電撃のコツ,Increases the potency of electrical attacks and decreases their MP consumption.,,,,,,,Increases damage by 15%.
53,Zombiesbane,zombiesbane,ゾンビキラー,Increases damage inflicted on monsters from the undead family and slightly lowers all resistances.,,,,,,,Increases damage by 100%. Lowers all resistances by 5%.
